ID,Name,Year Published,Bayesian Average,Mechanic,Category
255,"Jena-Auerstadt: The Battle for Prussia, 14 October 1806",1975,5.51223,Hexagon Grid,Napoleonic
256,Mississippi Queen,1997,6.02804,Bias,Nautical
258,Fluxx,1997,5.56491,Hand Management,Card Game
259,Atlantic Storm,1997,5.70347,Trick-taking,Card Game
261,Olympia 2000 (v. Chr.),1994,5.56328,Simultaneous Action Selection,Ancient
263,Manitou,1997,5.59363,Area Majority / Influence,Card Game
265,Intrigue,1994,5.98599,Area Majority / Influence,Negotiation
266,Not available,Not available,Not available,Not available,Not available
268,Cheops,1998,5.58475,Commodity Speculation,Ancient
269,Not available,Not available,Not available,Not available,Not available
271,It's Mine!,1998,5.57069,Memory,Card Game
273,Africa 1880,1997,5.50904,Area Majority / Influence,Bluffing
274,Guerilla,1994,5.61809,Dice Rolling,Card Game
275,Extinction,1993,5.48789,Contracts,Prehistoric
276,"La Guerre de l'Empereur: The Emperor's War, 1805-1815",1997,5.52616,Area-Impulse,Economic
278,Catan Card Game,1996,6.49978,Dice Rolling,Card Game
279,The Very Clever Pipe Game,1996,5.68733,Hand Management,Abstract Strategy
280,Neue Spiele im alten Rom,1994,5.62444,Not available,Abstract Strategy
281,Ostindiska kompaniet,1991,5.44238,Commodity Speculation,Economic
283,Advanced Third Reich,1992,5.81965,Dice Rolling,Wargame
284,Lords of the Sierra Madre (Second Edition),1995,5.55645,Area Movement,American West
285,Monsters Ravage America,1998,5.54384,Not available,Science Fiction
287,Bazaar,1967,5.96571,Set Collection,Abstract Strategy
289,Chariot Lords,1999,5.61131,Area Movement,Ancient
290,Gold Digger,1990,5.5524,Hand Management,American West
292,Attacke,1993,5.51412,Auction/Bidding,Card Game
293,Bamboleo,1996,5.82392,Push Your Luck,Action / Dexterity
294,Keydom,1998,5.55144,Auction: Multiple Lot,Bluffing
295,Europa 1945-2030,1998,5.5638,Voting,Negotiation
296,Medieval Merchant,1998,5.93314,Area Majority / Influence,Economic
298,Lang lebe der König!,1997,5.49125,Voting,Wargame
300,Tutankhamen,1993,5.73366,Modular Board,Abstract Strategy
301,Campanile,1996,5.59491,Area Majority / Influence,Card Game
302,Forum Romanum,1988,5.73566,Area Majority / Influence,Abstract Strategy
303,Koalition,1992,5.59175,Not available,Card Game
304,Evergreen,1999,5.507,Commodity Speculation,Card Game
305,Der Fliegende Holländer,1992,5.58049,Stock Holding,Bluffing
306,Die Siedler von Catan: Historische Szenarien,1998,5.83266,Network and Route Building,Ancient
307,Candidate,1991,5.49992,Not available,Political
309,Arabana-Ikibiti,1997,5.52521,Area Majority / Influence,Abstract Strategy
311,Time Agent,1992,5.6363,Variable Player Powers,Science Fiction
312,Landlord!,1992,5.6237,Hand Management,Card Game
313,Big Boss,1994,5.97436,Stock Holding,Economic
314,Highlanders,1993,5.56523,Action Points,Medieval
315,Bagh Chal,1000,5.61296,Grid Movement,Abstract Strategy
317,The Mob,1993,5.58591,Not available,Mafia
318,Looney Leo,0,0,Auction/Bidding,Humor
320,Scrabble,1948,6.14837,End Game Bonuses,Word Game
322,Tonga Bonga,1998,5.68369,Betting and Bluffing,Economic
323,Anno 1452,1999,5.54079,Area Majority / Influence,Medieval
324,Ponte Vecchio,1996,5.50703,Auction/Bidding,Economic
326,Not available,Not available,Not available,Not available,Not available
328,Damn the Torpedoes!,1995,5.48908,Hand Management,American Civil War
329,Russian Front,1985,5.89624,Dice Rolling,Wargame
